obj: 'INIT', pid: 01
    obj: 'O053', pid: 12, owner: 'sks ', type: 'ANON', perm: rw-, vaddr: 0x0852D000, size: 0x002000, phys: 0x887E6AF000, tz0 offset: 0x5DB000

obj: 'sse ', pid: 14
    obj: 'N000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x03AE8000, size: 0x02B000, phys: 0x887E399000, tz0 offset: 0x2C5000
    obj: 'N001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x03B13000, size: 0x00A000, phys: 0x887E3C4000, tz0 offset: 0x2F0000
    obj: 'N002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x03C20000, size: 0x002000, phys: 0x887E3E6000, tz0 offset: 0x312000
    obj: 'O010', pid: 14, owner: 'sse ', type: '_hep', perm: rw-, vaddr: 0x03C25000, size: 0x008000, phys: 0x887E645000, tz0 offset: 0x571000
    obj: 'O028', pid: 14, owner: 'sse ', type: 'ANON', perm: rw-, vaddr: 0x03C2F000, size: 0x001000, phys: 0x887E65C000, tz0 offset: 0x588000
    obj: 'O039', pid: 12, owner: 'sks ', type: 'ANON', perm: rw-, vaddr: 0x08504000, size: 0x002000, phys: 0x887E671000, tz0 offset: 0x59D000

